name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body1,body2
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,9,Applying,180,Venus,Uranus
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,9,Applying,180,Venus,Uranus
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,9,Applying,180,Jupiter,Mars
2,2019-06-04,13:00:00,1%,0%,YES,Sun,8,Seperating,180,Mercury,Jupiter
2,2019-06-05,15:40:00,0.75%,0.25%,YES,Mercury,6,Applying,180,Mars,Saturn
2,2019-06-05,15:40:00,0.75%,0.25%,YES,Mercury,9,Applying,180,Mars,Pluto
2,2019-07-02,14:00:00,0%,1%,YES,Venus,7,Applying,180,Sun,Saturn
1,2019-06-04,09:20:00,0.5833333333333334%,0.4166666666666667%,YES,Sun,8,Applying,180,Mercury,Jupiter
1,2019-06-05,14:00:00,0.6666666666666666%,0.3333333333333333%,YES,Mercury,6,Applying,180,Mars,Saturn
1,2019-06-05,14:00:00,0.6666666666666666%,0.3333333333333333%,YES,Mercury,9,Applying,180,Mars,Pluto
1,2019-07-02,12:00:00,0.8125%,0.1875%,YES,Venus,7,Applying,180,Sun,Saturn
1,2019-07-02,12:00:00,0.8125%,0.1875%,YES,Venus,10,Applying,180,Sun,Pluto
3,2019-04-23,08:30:00,0%,1%,YES,Ceres,9,Applying,180,Jupiter,Mars
3,2019-06-04,09:20:00,0.6666666666666666%,0.3333333333333333%,YES,Sun,8,Seperating,180,Mercury,Jupiter
3,2019-06-05,14:00:00,0.8333333333333334%,0.16666666666666666%,YES,Mercury,6,Applying,180,Mars,Saturn
3,2019-06-05,14:00:00,0.8333333333333334%,0.16666666666666666%,YES,Mercury,9,Applying,180,Mars,Pluto
3,2019-07-02,12:00:00,0%,1%,YES,Venus,7,Applying,180,Sun,Saturn
4,2019-04-23,09:25:00,0.75%,0.25%,YES,Ceres,9,Applying,180,Jupiter,Mars
4,2019-06-04,13:00:00,1%,0%,YES,Sun,8,Seperating,180,Mercury,Jupiter
4,2019-06-05,15:40:00,0.875%,0.125%,YES,Mercury,6,Applying,180,Mars,Saturn
4,2019-06-05,15:40:00,0.875%,0.125%,YES,Mercury,9,Applying,180,Mars,Pluto
4,2019-07-02,14:00:00,0%,1%,YES,Venus,7,Applying,180,Sun,Saturn
4,2019-07-02,14:00:00,0%,1%,YES,Venus,10,Applying,180,Sun,Pluto
3,2019-08-30,11:55:00,0%,1%,YES,Mercury,6,Applying,180,Neptune,Venus
3,2019-08-30,11:55:00,0%,1%,YES,Mercury,9,Applying,180,Neptune,Mars
3,2019-09-30,07:50:00,0%,1%,YES,Venus,10,Applying,180,Mercury,Uranus
3,2019-09-30,07:50:00,0%,1%,YES,Venus,10,Applying,180,Moon,Uranus
3,2019-11-25,08:45:00,1%,0%,YES,Mars,9,Seperating,180,Mercury,Uranus
4,2019-11-25,09:05:00,0.5%,0.5%,YES,Mars,9,Seperating,180,Mercury,Uranus
1,2019-11-25,09:05:00,1%,0%,YES,Mars,9,Seperating,180,Mercury,Uranus
