name_id,date,time,correct,displaced,degree,degree_type,symbol,body1,body2
4,2019-04-09,09:08:00,0%,1%,7,Applying,180,Mars,Ceres
2,2018-10-24,08:45:00,0.1875%,0.8125%,4,Applying,180,Uranus,Venus
2,2018-04-09,10:15:00,0%,1%,7,Applying,180,Mars,Ceres
3,2018-10-24,09:36:00,0.1%,0.9%,4,Applying,180,Uranus,Venus
3,2018-10-24,09:36:00,0.1%,0.9%,8,Applying,180,Uranus,Ceres
3,2018-11-20,12:00:00,0.8214285714285714%,0.17857142857142858%,4,Applying,180,Uranus,Ceres
3,2019-04-09,08:45:00,0.125%,0.875%,8,Applying,180,Mars,Ceres
2,2019-04-22,10:15:00,1%,0%,7,Applying,180,Moon,Mars
2,2019-07-04,11:35:00,1%,0%,9,Seperating,180,Mars,Pluto
1,2019-06-03,11:50:00,0.5%,0.5%,8,Applying,180,Sun,Jupiter
1,2019-06-03,11:50:00,0.5%,0.5%,6,Seperating,180,Sun,Ceres
1,2019-07-04,10:10:00,1%,0%,9,Applying,180,Mars,Pluto
3,2019-06-03,11:50:00,0.6%,0.4%,8,Applying,180,Sun,Jupiter
3,2019-06-03,11:50:00,0.6%,0.4%,6,Seperating,180,Sun,Ceres
3,2019-07-04,10:10:00,0%,1%,9,Seperating,180,Mars,Pluto
4,2019-06-03,09:30:00,0.8333333333333334%,0.16666666666666666%,10,Applying,180,Sun,Jupiter
2,2019-09-28,09:15:00,0.5833333333333334%,0.4166666666666667%,9,Seperating,180,Mars,Neptune
2,2019-09-28,09:15:00,0.5833333333333334%,0.4166666666666667%,7,Applying,180,Mars,Chiron
3,2019-09-28,09:15:00,0.6428571428571429%,0.35714285714285715%,9,Seperating,180,Mars,Neptune
3,2019-09-28,09:15:00,0.6428571428571429%,0.35714285714285715%,7,Applying,180,Mars,Chiron
1,2019-09-28,09:45:00,0.375%,0.625%,7,Applying,180,Mars,Saturn
2,2019-12-08,14:40:00,0.4166666666666667%,0.5833333333333334%,8,Seperating,180,Uranus,Mars
3,2019-12-08,14:40:00,1%,0%,9,Seperating,180,Uranus,Mars
4,2019-12-08,14:50:00,0.25%,0.75%,9,Seperating,180,Uranus,Mars
1,2019-12-08,14:15:00,0%,1%,9,Seperating,180,Uranus,Mars
1,2020-07-20,12:05:00,1%,0%,6,Seperating,180,Sun,Jupiter
1,2020-07-20,12:05:00,1%,0%,4,Seperating,180,Sun,Pluto
2,2020-07-20,12:05:00,0.6666666666666666%,0.3333333333333333%,6,Seperating,180,Sun,Jupiter
2,2020-07-20,12:05:00,0.6666666666666666%,0.3333333333333333%,4,Seperating,180,Sun,Pluto
3,2020-07-20,12:05:00,1%,0%,6,Seperating,180,Sun,Jupiter
3,2020-07-20,12:05:00,1%,0%,4,Seperating,180,Sun,Pluto
4,2020-07-20,12:05:00,1%,0%,6,Seperating,180,Sun,Jupiter
4,2020-07-20,12:05:00,1%,0%,4,Seperating,180,Sun,Pluto
